backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
libgguf_cpu,quantize,1_thread,NVFP4,64,4096,64x4096,5,0.977041,1.073216,,147456,1048576,
libgguf_cpu,dequantize,1_thread,NVFP4,64,4096,64x4096,10,0.333786,0.441768,3.141461,147456,1048576,
libgguf_cpu,quantize,default,NVFP4,64,4096,64x4096,5,4.111087,0.255061,,147456,1048576,
libgguf_cpu,dequantize,default,NVFP4,64,4096,64x4096,10,4.219506,0.034946,0.248507,147456,1048576,
cuda,quantize,,Q1_0,64,4096,64x4096,100,0.036188,28.975666,,36864,1048576,
cuda,dequantize,,Q1_0,64,4096,64x4096,100,0.009421,3.913043,111.304345,36864,1048576,
libgguf_cpu,quantize,1_thread,Q1_0,64,4096,64x4096,5,0.340064,3.083467,,36864,1048576,
libgguf_cpu,dequantize,1_thread,Q1_0,64,4096,64x4096,10,0.386009,0.095500,2.716456,36864,1048576,
libgguf_cpu,quantize,default,Q1_0,64,4096,64x4096,5,3.961032,0.264723,,36864,1048576,
libgguf_cpu,dequantize,default,Q1_0,64,4096,64x4096,10,4.534470,0.008130,0.231246,36864,1048576,
cuda,quantize,,Q2_K,64,4096,64x4096,100,0.162058,6.470365,,86016,1048576,
cuda,dequantize,,Q2_K,64,4096,64x4096,100,0.013599,6.325301,77.108435,86016,1048576,
libgguf_cpu,quantize,1_thread,Q2_K,64,4096,64x4096,5,15.352502,0.068300,,86016,1048576,
libgguf_cpu,dequantize,1_thread,Q2_K,64,4096,64x4096,10,0.283739,0.303151,3.695560,86016,1048576,
libgguf_cpu,quantize,default,Q2_K,64,4096,64x4096,5,4.031803,0.260076,,86016,1048576,
libgguf_cpu,dequantize,default,Q2_K,64,4096,64x4096,10,4.034622,0.021319,0.259894,86016,1048576,
cuda,quantize,,Q3_K,64,4096,64x4096,100,0.149790,7.000288,,112640,1048576,
cuda,dequantize,,Q3_K,64,4096,64x4096,100,0.009411,11.969532,111.425461,112640,1048576,
libgguf_cpu,quantize,1_thread,Q3_K,64,4096,64x4096,5,1.510378,0.694248,,112640,1048576,
libgguf_cpu,dequantize,1_thread,Q3_K,64,4096,64x4096,10,0.360983,0.312037,2.904780,112640,1048576,
libgguf_cpu,quantize,default,Q3_K,64,4096,64x4096,5,4.362093,0.240384,,112640,1048576,
libgguf_cpu,dequantize,default,Q3_K,64,4096,64x4096,10,4.443001,0.025352,0.236006,112640,1048576,
cuda,quantize,,Q4_0,64,4096,64x4096,100,0.008645,121.286601,,147456,1048576,
cuda,dequantize,,Q4_0,64,4096,64x4096,100,0.009933,14.845361,105.567011,147456,1048576,
libgguf_cpu,quantize,1_thread,Q4_0,64,4096,64x4096,5,0.217667,4.817345,,147456,1048576,
libgguf_cpu,dequantize,1_thread,Q4_0,64,4096,64x4096,10,0.053094,2.777279,19.749538,147456,1048576,
libgguf_cpu,quantize,default,Q4_0,64,4096,64x4096,5,3.986318,0.263044,,147456,1048576,
libgguf_cpu,dequantize,default,Q4_0,64,4096,64x4096,10,4.019838,0.036682,0.260850,147456,1048576,
cuda,quantize,,Q4_1,64,4096,64x4096,100,0.008491,123.499038,,163840,1048576,
cuda,dequantize,,Q4_1,64,4096,64x4096,100,0.009472,17.297297,110.702703,163840,1048576,
libgguf_cpu,quantize,1_thread,Q4_1,64,4096,64x4096,5,0.230055,4.557939,,163840,1048576,
libgguf_cpu,dequantize,1_thread,Q4_1,64,4096,64x4096,10,0.061519,2.663255,17.044834,163840,1048576,
libgguf_cpu,quantize,default,Q4_1,64,4096,64x4096,5,4.330086,0.242161,,163840,1048576,
libgguf_cpu,dequantize,default,Q4_1,64,4096,64x4096,10,4.248099,0.038568,0.246834,163840,1048576,
cuda,quantize,,Q4_K,64,4096,64x4096,100,0.201838,5.195143,,147456,1048576,
cuda,dequantize,,Q4_K,64,4096,64x4096,100,0.008335,17.690417,125.798521,147456,1048576,
libgguf_cpu,quantize,1_thread,Q4_K,64,4096,64x4096,5,15.864499,0.066096,,147456,1048576,
libgguf_cpu,dequantize,1_thread,Q4_K,64,4096,64x4096,10,0.092983,1.585847,11.277133,147456,1048576,
libgguf_cpu,quantize,default,Q4_K,64,4096,64x4096,5,4.395713,0.238545,,147456,1048576,
libgguf_cpu,dequantize,default,Q4_K,64,4096,64x4096,10,4.334026,0.034023,0.241940,147456,1048576,
cuda,quantize,,Q5_0,64,4096,64x4096,100,0.015572,67.337965,,180224,1048576,
cuda,dequantize,,Q5_0,64,4096,64x4096,100,0.009511,18.949565,110.252013,180224,1048576,
libgguf_cpu,quantize,1_thread,Q5_0,64,4096,64x4096,5,0.408152,2.569083,,180224,1048576,
libgguf_cpu,dequantize,1_thread,Q5_0,64,4096,64x4096,10,0.276523,0.651750,3.791998,180224,1048576,
libgguf_cpu,quantize,default,Q5_0,64,4096,64x4096,5,4.504759,0.232771,,180224,1048576,
libgguf_cpu,dequantize,default,Q5_0,64,4096,64x4096,10,3.997621,0.045083,0.262300,180224,1048576,
cuda,quantize,,Q5_1,64,4096,64x4096,100,0.009032,116.099770,,196608,1048576,
cuda,dequantize,,Q5_1,64,4096,64x4096,100,0.011438,17.188899,91.674127,196608,1048576,
libgguf_cpu,quantize,1_thread,Q5_1,64,4096,64x4096,5,0.449485,2.332837,,196608,1048576,
libgguf_cpu,dequantize,1_thread,Q5_1,64,4096,64x4096,10,0.303033,0.648800,3.460267,196608,1048576,
libgguf_cpu,quantize,default,Q5_1,64,4096,64x4096,5,4.384773,0.239140,,196608,1048576,
libgguf_cpu,dequantize,default,Q5_1,64,4096,64x4096,10,4.253163,0.046226,0.246540,196608,1048576,
cuda,quantize,,Q5_K,64,4096,64x4096,100,0.199280,5.261831,,180224,1048576,
cuda,dequantize,,Q5_K,64,4096,64x4096,100,0.011223,16.058395,93.430660,180224,1048576,
libgguf_cpu,quantize,1_thread,Q5_K,64,4096,64x4096,5,12.652467,0.082875,,180224,1048576,
libgguf_cpu,dequantize,1_thread,Q5_K,64,4096,64x4096,10,0.089068,2.023454,11.772824,180224,1048576,
libgguf_cpu,quantize,default,Q5_K,64,4096,64x4096,5,3.953668,0.265216,,180224,1048576,
libgguf_cpu,dequantize,default,Q5_K,64,4096,64x4096,10,4.254806,0.042358,0.246445,180224,1048576,
cuda,quantize,,Q6_K,64,4096,64x4096,100,0.148857,7.044200,,215040,1048576,
cuda,dequantize,,Q6_K,64,4096,64x4096,100,0.009298,23.127754,112.775332,215040,1048576,
libgguf_cpu,quantize,1_thread,Q6_K,64,4096,64x4096,5,9.851365,0.106440,,215040,1048576,
libgguf_cpu,dequantize,1_thread,Q6_K,64,4096,64x4096,10,0.341337,0.629993,3.071966,215040,1048576,
libgguf_cpu,quantize,default,Q6_K,64,4096,64x4096,5,3.936196,0.266393,,215040,1048576,
libgguf_cpu,dequantize,default,Q6_K,64,4096,64x4096,10,4.020984,0.053479,0.260776,215040,1048576,
cuda,quantize,,Q8_0,64,4096,64x4096,100,0.014081,74.469342,,278528,1048576,
cuda,dequantize,,Q8_0,64,4096,64x4096,100,0.009432,29.531113,111.175954,278528,1048576,
libgguf_cpu,quantize,1_thread,Q8_0,64,4096,64x4096,5,0.113023,9.277513,,278528,1048576,
libgguf_cpu,dequantize,1_thread,Q8_0,64,4096,64x4096,10,0.051506,5.407712,20.358445,278528,1048576,
libgguf_cpu,quantize,default,Q8_0,64,4096,64x4096,5,4.453855,0.235431,,278528,1048576,
libgguf_cpu,dequantize,default,Q8_0,64,4096,64x4096,10,4.510308,0.061754,0.232484,278528,1048576,
cuda,quantize,,TQ1_0,64,4096,64x4096,100,0.106086,9.884170,,55296,1048576,
cuda,dequantize,,TQ1_0,64,4096,64x4096,100,0.009525,5.805476,110.089029,55296,1048576,
libgguf_cpu,quantize,1_thread,TQ1_0,64,4096,64x4096,5,0.416048,2.520327,,55296,1048576,
libgguf_cpu,dequantize,1_thread,TQ1_0,64,4096,64x4096,10,0.088658,0.623704,11.827267,55296,1048576,
libgguf_cpu,quantize,default,TQ1_0,64,4096,64x4096,5,4.397819,0.238431,,55296,1048576,
libgguf_cpu,dequantize,default,TQ1_0,64,4096,64x4096,10,4.069768,0.013587,0.257650,55296,1048576,
cuda,quantize,,TQ2_0,64,4096,64x4096,100,0.114369,9.168336,,67584,1048576,
cuda,dequantize,,TQ2_0,64,4096,64x4096,100,0.009337,7.238082,112.299944,67584,1048576,
libgguf_cpu,quantize,1_thread,TQ2_0,64,4096,64x4096,5,0.254983,4.112343,,67584,1048576,
libgguf_cpu,dequantize,1_thread,TQ2_0,64,4096,64x4096,10,0.088780,0.761257,11.811013,67584,1048576,
libgguf_cpu,quantize,default,TQ2_0,64,4096,64x4096,5,4.402219,0.238193,,67584,1048576,
libgguf_cpu,dequantize,default,TQ2_0,64,4096,64x4096,10,4.471807,0.015113,0.234486,67584,1048576,
cuda,quantize,,IQ2_XXS,4096,4096,4096x4096,1,233.813828,0.287018,,4325376,67108864,
cuda,dequantize,,IQ2_XXS,4096,4096,4096x4096,30,0.094003,46.013072,713.899778,4325376,67108864,
libgguf_cpu,quantize,1_thread,IQ2_XXS,4096,4096,4096x4096,1,5939.973145,0.011298,,4325376,67108864,
libgguf_cpu,dequantize,1_thread,IQ2_XXS,4096,4096,4096x4096,1,17.577731,0.246071,3.817834,4325376,67108864,
libgguf_cpu,quantize,default,IQ2_XXS,4096,4096,4096x4096,1,424.872014,0.157951,,4325376,67108864,
libgguf_cpu,dequantize,default,IQ2_XXS,4096,4096,4096x4096,1,17.049794,0.253691,3.936051,4325376,67108864,
cuda,quantize,,IQ2_XS,4096,4096,4096x4096,1,610.387939,0.109945,,4849664,67108864,
cuda,dequantize,,IQ2_XS,4096,4096,4096x4096,30,0.093451,51.895446,718.120772,4849664,67108864,
libgguf_cpu,quantize,1_thread,IQ2_XS,4096,4096,4096x4096,1,14766.651035,0.004545,,4849664,67108864,
libgguf_cpu,dequantize,1_thread,IQ2_XS,4096,4096,4096x4096,1,20.935672,0.231646,3.205479,4849664,67108864,
libgguf_cpu,quantize,default,IQ2_XS,4096,4096,4096x4096,1,1105.052673,0.060729,,4849664,67108864,
libgguf_cpu,dequantize,default,IQ2_XS,4096,4096,4096x4096,1,23.413349,0.207132,2.866265,4849664,67108864,
cuda,quantize,,IQ2_S,4096,4096,4096x4096,1,741.796814,0.090468,,5373952,67108864,
cuda,dequantize,,IQ2_S,4096,4096,4096x4096,30,0.094413,56.919737,710.802576,5373952,67108864,
libgguf_cpu,quantize,1_thread,IQ2_S,4096,4096,4096x4096,1,3863.435169,0.017370,,5373952,67108864,
libgguf_cpu,dequantize,1_thread,IQ2_S,4096,4096,4096x4096,1,23.817996,0.225626,2.817570,5373952,67108864,
libgguf_cpu,quantize,default,IQ2_S,4096,4096,4096x4096,1,208.556678,0.321778,,5373952,67108864,
libgguf_cpu,dequantize,default,IQ2_S,4096,4096,4096x4096,1,21.491899,0.250045,3.122519,5373952,67108864,
cuda,quantize,,IQ3_XXS,4096,4096,4096x4096,1,1092.228027,0.061442,,6422528,67108864,
cuda,dequantize,,IQ3_XXS,4096,4096,4096x4096,30,0.095846,67.008548,700.170950,6422528,67108864,
libgguf_cpu,quantize,1_thread,IQ3_XXS,4096,4096,4096x4096,1,8225.312268,0.008159,,6422528,67108864,
libgguf_cpu,dequantize,1_thread,IQ3_XXS,4096,4096,4096x4096,1,20.603229,0.311724,3.257201,6422528,67108864,
libgguf_cpu,quantize,default,IQ3_XXS,4096,4096,4096x4096,1,448.422150,0.149656,,6422528,67108864,
libgguf_cpu,dequantize,default,IQ3_XXS,4096,4096,4096x4096,1,17.915378,0.358492,3.745880,6422528,67108864,
cuda,quantize,,IQ3_S,4096,4096,4096x4096,1,1029.164062,0.065207,,7208960,67108864,
cuda,dequantize,,IQ3_S,4096,4096,4096x4096,30,0.095983,75.106686,699.174967,7208960,67108864,
libgguf_cpu,quantize,1_thread,IQ3_S,4096,4096,4096x4096,1,5588.737021,0.012008,,7208960,67108864,
libgguf_cpu,dequantize,1_thread,IQ3_S,4096,4096,4096x4096,1,25.449452,0.283266,2.636947,7208960,67108864,
libgguf_cpu,quantize,default,IQ3_S,4096,4096,4096x4096,1,310.842683,0.215893,,7208960,67108864,
libgguf_cpu,dequantize,default,IQ3_S,4096,4096,4096x4096,1,44.783780,0.160973,1.498508,7208960,67108864,
cuda,quantize,,IQ1_S,4096,4096,4096x4096,1,129.078278,0.519908,,3276800,67108864,
cuda,dequantize,,IQ1_S,4096,4096,4096x4096,30,0.092297,35.502957,727.100565,3276800,67108864,
libgguf_cpu,quantize,1_thread,IQ1_S,4096,4096,4096x4096,1,2518.755884,0.026644,,3276800,67108864,
libgguf_cpu,dequantize,1_thread,IQ1_S,4096,4096,4096x4096,1,15.348017,0.213500,4.372478,3276800,67108864,
libgguf_cpu,quantize,default,IQ1_S,4096,4096,4096x4096,1,100.384331,0.668519,,3276800,67108864,
libgguf_cpu,dequantize,default,IQ1_S,4096,4096,4096x4096,1,17.825379,0.183828,3.764793,3276800,67108864,
cuda,quantize,,IQ1_M,4096,4096,4096x4096,1,130.176773,0.515521,,3670016,67108864,
cuda,dequantize,,IQ1_M,4096,4096,4096x4096,30,0.093286,39.341382,719.385268,3670016,67108864,
libgguf_cpu,quantize,1_thread,IQ1_M,4096,4096,4096x4096,1,9752.627079,0.006881,,3670016,67108864,
libgguf_cpu,dequantize,1_thread,IQ1_M,4096,4096,4096x4096,1,19.315878,0.190000,3.474285,3670016,67108864,
libgguf_cpu,quantize,default,IQ1_M,4096,4096,4096x4096,1,713.944486,0.093997,,3670016,67108864,
libgguf_cpu,dequantize,default,IQ1_M,4096,4096,4096x4096,1,22.237776,0.165035,3.017787,3670016,67108864,
cuda,quantize,,IQ4_NL,4096,4096,4096x4096,20,3.170048,21.169668,,9437184,67108864,
cuda,dequantize,,IQ4_NL,4096,4096,4096x4096,30,0.098202,96.100104,683.378514,9437184,67108864,
libgguf_cpu,quantize,1_thread,IQ4_NL,4096,4096,4096x4096,1,4144.076713,0.016194,,9437184,67108864,
libgguf_cpu,dequantize,1_thread,IQ4_NL,4096,4096,4096x4096,1,25.868249,0.364817,2.594256,9437184,67108864,
libgguf_cpu,quantize,default,IQ4_NL,4096,4096,4096x4096,1,214.712830,0.312552,,9437184,67108864,
libgguf_cpu,dequantize,default,IQ4_NL,4096,4096,4096x4096,1,16.934245,0.557284,3.962909,9437184,67108864,
cuda,quantize,,IQ4_XS,4096,4096,4096x4096,20,3.461581,19.386769,,8912896,67108864,
cuda,dequantize,,IQ4_XS,4096,4096,4096x4096,30,0.097075,91.814346,691.308016,8912896,67108864,
libgguf_cpu,quantize,1_thread,IQ4_XS,4096,4096,4096x4096,1,4245.085799,0.015809,,8912896,67108864,
libgguf_cpu,dequantize,1_thread,IQ4_XS,4096,4096,4096x4096,1,26.113718,0.341311,2.569870,8912896,67108864,
libgguf_cpu,quantize,default,IQ4_XS,4096,4096,4096x4096,1,284.112019,0.236206,,8912896,67108864,
libgguf_cpu,dequantize,default,IQ4_XS,4096,4096,4096x4096,1,25.587022,0.348337,2.622770,8912896,67108864,
cuda,quantize,,MXFP4,4096,4096,4096x4096,20,0.651059,103.076439,,8912896,67108864,
cuda,dequantize,,MXFP4,4096,4096,4096x4096,30,0.110046,80.992553,609.826283,8912896,67108864,
libgguf_cpu,quantize,1_thread,MXFP4,4096,4096,4096x4096,1,48.278045,1.390049,,8912896,67108864,
libgguf_cpu,dequantize,1_thread,MXFP4,4096,4096,4096x4096,1,26.169817,0.340579,2.564361,8912896,67108864,
libgguf_cpu,quantize,default,MXFP4,4096,4096,4096x4096,1,16.676907,4.024059,,8912896,67108864,
libgguf_cpu,dequantize,default,MXFP4,4096,4096,4096x4096,1,16.882045,0.527951,3.975162,8912896,67108864,
cuda,quantize,,NVFP4,4096,4096,4096x4096,20,1.088302,61.663801,,9437184,67108864,
cuda,dequantize,,NVFP4,4096,4096,4096x4096,30,0.122914,76.778674,545.981680,9437184,67108864,
libgguf_cpu,quantize,1_thread,NVFP4,4096,4096,4096x4096,1,63.252114,1.060974,,9437184,67108864,
libgguf_cpu,dequantize,1_thread,NVFP4,4096,4096,4096x4096,1,25.718641,0.366939,2.609347,9437184,67108864,
libgguf_cpu,quantize,default,NVFP4,4096,4096,4096x4096,1,16.674147,4.024725,,9437184,67108864,
libgguf_cpu,dequantize,default,NVFP4,4096,4096,4096x4096,1,17.267503,0.546529,3.886425,9437184,67108864,
cuda,quantize,,Q1_0,4096,4096,4096x4096,20,0.336589,199.379366,,2359296,67108864,
cuda,dequantize,,Q1_0,4096,4096,4096x4096,30,0.106291,22.196532,631.368023,2359296,67108864,
libgguf_cpu,quantize,1_thread,Q1_0,4096,4096,4096x4096,1,13.390752,5.011583,,2359296,67108864,
libgguf_cpu,dequantize,1_thread,Q1_0,4096,4096,4096x4096,1,27.302219,0.086414,2.458000,2359296,67108864,
libgguf_cpu,quantize,default,Q1_0,4096,4096,4096x4096,1,19.018221,3.528661,,2359296,67108864,
libgguf_cpu,dequantize,default,Q1_0,4096,4096,4096x4096,1,17.277023,0.136557,3.884284,2359296,67108864,
cuda,quantize,,Q2_K,4096,4096,4096x4096,20,0.724890,92.578046,,5505024,67108864,
cuda,dequantize,,Q2_K,4096,4096,4096x4096,30,0.091887,59.910847,730.341751,5505024,67108864,
libgguf_cpu,quantize,1_thread,Q2_K,4096,4096,4096x4096,1,1095.780616,0.061243,,5505024,67108864,
libgguf_cpu,dequantize,1_thread,Q2_K,4096,4096,4096x4096,1,20.921776,0.263124,3.207608,5505024,67108864,
libgguf_cpu,quantize,default,Q2_K,4096,4096,4096x4096,1,25.000876,2.684260,,5505024,67108864,
libgguf_cpu,dequantize,default,Q2_K,4096,4096,4096x4096,1,17.261993,0.318910,3.887666,5505024,67108864,
cuda,quantize,,Q3_K,4096,4096,4096x4096,20,1.113190,60.285164,,7208960,67108864,
cuda,dequantize,,Q3_K,4096,4096,4096x4096,30,0.093116,77.419353,720.703799,7208960,67108864,
libgguf_cpu,quantize,1_thread,Q3_K,4096,4096,4096x4096,1,104.824189,0.640204,,7208960,67108864,
libgguf_cpu,dequantize,1_thread,Q3_K,4096,4096,4096x4096,1,27.857065,0.258784,2.409043,7208960,67108864,
libgguf_cpu,quantize,default,Q3_K,4096,4096,4096x4096,1,16.383119,4.096220,,7208960,67108864,
libgguf_cpu,dequantize,default,Q3_K,4096,4096,4096x4096,1,16.795526,0.429219,3.995639,7208960,67108864,
cuda,quantize,,Q4_0,4096,4096,4096x4096,20,0.156006,430.167389,,9437184,67108864,
cuda,dequantize,,Q4_0,4096,4096,4096x4096,30,0.095710,98.602000,701.169775,9437184,67108864,
libgguf_cpu,quantize,1_thread,Q4_0,4096,4096,4096x4096,1,15.159789,4.426768,,9437184,67108864,
libgguf_cpu,dequantize,1_thread,Q4_0,4096,4096,4096x4096,1,8.653356,1.090581,7.755241,9437184,67108864,
libgguf_cpu,quantize,default,Q4_0,4096,4096,4096x4096,1,16.256470,4.128133,,9437184,67108864,
libgguf_cpu,dequantize,default,Q4_0,4096,4096,4096x4096,1,16.961386,0.556392,3.956567,9437184,67108864,
cuda,quantize,,Q4_1,4096,4096,4096x4096,20,0.167322,401.077115,,10485760,67108864,
cuda,dequantize,,Q4_1,4096,4096,4096x4096,30,0.096700,108.436290,693.992254,10485760,67108864,
libgguf_cpu,quantize,1_thread,Q4_1,4096,4096,4096x4096,1,12.206730,5.497694,,10485760,67108864,
libgguf_cpu,dequantize,1_thread,Q4_1,4096,4096,4096x4096,1,9.554729,1.097442,7.023628,10485760,67108864,
libgguf_cpu,quantize,default,Q4_1,4096,4096,4096x4096,1,19.491427,3.442994,,10485760,67108864,
libgguf_cpu,dequantize,default,Q4_1,4096,4096,4096x4096,1,17.128824,0.612170,3.917891,10485760,67108864,
cuda,quantize,,Q4_K,4096,4096,4096x4096,20,0.942989,71.166132,,9437184,67108864,
cuda,dequantize,,Q4_K,4096,4096,4096x4096,30,0.095642,98.672380,701.670257,9437184,67108864,
libgguf_cpu,quantize,1_thread,Q4_K,4096,4096,4096x4096,1,1121.911024,0.059817,,9437184,67108864,
libgguf_cpu,dequantize,1_thread,Q4_K,4096,4096,4096x4096,1,9.396451,1.004335,7.141937,9437184,67108864,
libgguf_cpu,quantize,default,Q4_K,4096,4096,4096x4096,1,26.080088,2.573184,,9437184,67108864,
libgguf_cpu,dequantize,default,Q4_K,4096,4096,4096x4096,1,19.696645,0.479126,3.407122,9437184,67108864,
cuda,quantize,,Q5_0,4096,4096,4096x4096,20,0.296806,226.103151,,11534336,67108864,
cuda,dequantize,,Q5_0,4096,4096,4096x4096,30,0.097963,117.742162,685.045304,11534336,67108864,
libgguf_cpu,quantize,1_thread,Q5_0,4096,4096,4096x4096,1,23.914684,2.806178,,11534336,67108864,
libgguf_cpu,dequantize,1_thread,Q5_0,4096,4096,4096x4096,1,23.462768,0.491602,2.860228,11534336,67108864,
libgguf_cpu,quantize,default,Q5_0,4096,4096,4096x4096,1,18.661993,3.596018,,11534336,67108864,
libgguf_cpu,dequantize,default,Q5_0,4096,4096,4096x4096,1,16.900896,0.682469,3.970728,11534336,67108864,
cuda,quantize,,Q5_1,4096,4096,4096x4096,20,0.217549,308.477289,,12582912,67108864,
